run,string1,string2,string3,string4,p_initial_residual,label
run_00024,(((2.0 * I2) + ((I1 - (0.097 * I2)) * (0.430 - 0.097))) * (I1 + I1)),((I1 - -1.0) * (1.0 + ((0.430 - I2) + 2.0))),((I2 - (I1 * (0.097 * (0.097 + 0.097)))) + ((((-0.15 + 1.0) + I2) * (0.097 * 0.205)) - I2)),((-1.0 * (((0.205 * 0.089) * (0.097 - I1)) - (I1 + -0.15))) - (2.0 * I1)),0.00817705,0
run_00025,((I2 - (2.0 - -1.0)) * (0.205 + (((0.089 + I2) - (I2 * 0.097)) + I2))),(((1.0 * (0.097 + (0.089 * I1))) * (I1 * I2)) + (I1 * 0.205)),((((I2 * I2) * (0.430 - -0.15)) + (((0.430 * 1.0) - (-0.15 - 1.0)) - I2)) - ((-1.0 - (-1.0 * (0.089 + 2.0))) - I2)),((I2 * (I1 - ((0.205 - 0.205) + -0.15))) - (I2 + I1)),0.00717546,0
run_00026,(((I1 * (0.205 + I1)) * -1.0) - (((-0.15 - (0.430 + 2.0)) * I2) - (((I1 - -0.15) + (0.089 + -1.0)) + 0.089))),((((0.430 + 0.097) + (-1.0 + 0.430)) - (((0.205 * 0.205) - (2.0 - 1.0)) + -1.0)) + ((((-0.15 - I2) * I2) + -0.15) - (1.0 * -0.15))),((0.430 + (0.089 + (0.205 + 0.205))) * (I2 - -1.0)),((I2 - I1) - (I1 - -0.15)),3.61E-10,0
run_00027,(((((0.089 * -0.15) - (2.0 + I2)) + 1.0) * 0.089) - ((-0.15 * I2) * 0.097)),(((0.097 - (0.430 + (0.205 * 0.430))) - 0.430) - (-0.15 + 2.0)),((-0.15 + I1) - (0.205 + (-0.15 - I1))),((I1 + (I1 - I1)) + (((I1 + 0.205) + (2.0 * I2)) + 1.0)),5.85E-08,0
run_00028,((-0.15 - (I1 + ((0.430 * 0.430) + (0.205 - I1)))) - ((((0.205 - 2.0) - I2) - I1) + 0.205)),((((1.0 + I1) * 0.089) - 0.089) + (I2 - (((-0.15 + -1.0) * (I1 + -0.15)) * (0.089 * I1)))),(((0.205 + ((-1.0 + 1.0) + 0.430)) * (I2 - ((0.205 - I1) * I1))) - (I2 - I2)),(((I1 - ((0.097 + -0.15) + 0.205)) * ((-0.15 - (I2 + -0.15)) * (2.0 - I1))) + (2.0 + (I2 + (0.205 - (2.0 + I2))))),0.0829743,1
run_00029,((1.0 + I2) - ((0.430 * -1.0) - I1)),((((I2 + I1) - (-1.0 - -1.0)) - I1) - ((((0.205 - -0.15) + I1) + (0.205 - 0.089)) + -0.15)),(((-1.0 * I2) * (I1 * 0.097)) + (0.097 + ((I1 + 0.097) * (0.089 - 0.089)))),((-1.0 + (I1 - I1)) * (0.205 * I2)),0.265958,1
run_00030,((2.0 * (2.0 - 0.097)) + (2.0 + 0.430)),((((1.0 + (0.205 * I1)) * 2.0) - (0.430 * ((0.089 * 2.0) - 0.205))) - (I2 * I2)),(((-0.15 * I1) * 2.0) + ((I2 * I2) + (-1.0 + (0.097 - (0.097 + 0.097))))),(((((2.0 + 2.0) + 0.089) - I1) * (((I2 + I2) - (I1 + 0.430)) + (-0.15 + -0.15))) + ((((2.0 + -0.15) * 0.097) - (-1.0 - 0.089)) - 1.0)),0.117958,1
run_00031,(((I2 * -0.15) - I2) - ((0.205 * ((1.0 * 0.205) - 0.430)) - I2)),((I1 * (((I1 + -1.0) + 2.0) + I2)) + (I2 - 1.0)),((-0.15 * I2) * ((I1 + ((I1 * -0.15) + (0.430 + -1.0))) + (0.430 + ((0.205 - 0.089) * (0.097 * -0.15))))),((0.097 - (I1 * (I1 * (0.089 * 0.205)))) * ((1.0 * I1) - 0.089)),1.20E-08,0
run_00032,(((((I2 * 0.089) - (0.089 - 0.097)) - (I1 + I2)) * (0.430 * (0.205 - 0.097))) - (I2 * ((0.097 + (0.205 + 0.430)) + -0.15))),((((1.0 - (-1.0 + 0.089)) * (2.0 * I2)) + I1) + (I2 + (((1.0 - -0.15) - I1) - I2))),((I1 - (((I2 * 0.097) + I2) - (0.430 * I2))) - (I2 + (I1 + ((0.430 + I2) * (-1.0 * I1))))),((0.097 + 1.0) - (I1 + -0.15)),1.35E-08,0
run_00033,((-0.15 - I1) - (-0.15 + (0.205 - -1.0))),((I2 + (1.0 - I2)) + ((I1 * 2.0) * (0.089 * I1))),(((-1.0 + (0.430 + (-0.15 + 2.0))) + (I2 * 0.430)) * (0.089 * 0.205)),(((-0.15 - I1) + -1.0) * (1.0 * 2.0)),5.83E-12,0
run_00034,((I1 + 2.0) * (((1.0 + 0.205) - I2) + (I1 + (-1.0 - I1)))),((0.097 + (I2 + 1.0)) + (((1.0 - 0.089) + (-0.15 - I2)) - (((0.089 + -0.15) + I1) - (0.430 * I1)))),(((0.430 * ((0.097 - 0.430) + 0.089)) * 0.205) * (I1 + I1)),(((((2.0 + I1) - -0.15) - I1) - (((0.430 + I1) + (1.0 * 0.430)) - (0.089 - 0.097))) * (I1 + 0.097)),0.00402686,0
run_00035,((0.205 - (I2 + I2)) - ((I1 - (-1.0 + (I1 - 0.089))) + 1.0)),(((I1 * I1) + I2) * (1.0 - I2)),(((((-1.0 + 0.205) * (I2 * 2.0)) + (I1 * -1.0)) * (-1.0 - I1)) - (-1.0 * 0.430)),((0.089 + I1) - (I1 + (((0.205 - 0.089) * (0.430 * -1.0)) * (-1.0 + 0.205)))),6.73E-13,0
run_00036,(((I2 - (I1 - I1)) * (((0.089 - -1.0) * I2) - (I1 + 0.205))) * (0.430 + (I1 * (I1 + (-1.0 * -1.0))))),(((((-0.15 + I1) + (1.0 - 0.097)) * (0.430 * 0.097)) - -1.0) + ((((1.0 + 1.0) - 0.097) - 0.089) - 0.205)),(((((0.089 * 0.097) * I2) - -0.15) - (0.097 + 1.0)) - (((I2 * I1) + 0.097) * (((0.089 - 0.089) * 1.0) + -0.15))),(((I1 - I2) + ((I1 - 0.430) * 0.097)) * (0.097 - I1)),0.00299421,0
run_00037,(((-0.15 + ((I1 + I1) * (0.097 + 0.097))) * I1) * (1.0 + I1)),((0.430 - I2) * (I2 - I1)),((((0.205 * (I2 * -0.15)) + 0.097) * I1) - (I1 * 0.097)),((((1.0 * -0.15) * 0.097) - 0.089) + (0.430 - I1)),4.32E-10,0
run_00038,((0.205 + (0.097 + I2)) + (I1 * 0.097)),((I1 - I2) + (0.097 - (((-0.15 - 0.430) + (-1.0 * 0.205)) * (I1 * -1.0)))),(((((0.097 + I1) * I1) - 0.430) * ((I2 + (0.097 * -0.15)) * (-1.0 - 0.205))) + ((0.205 * -0.15) + 0.430)),((I1 - I2) * (-0.15 + I1)),1.84E-07,0
run_00039,((((I2 - (0.097 - 0.097)) * -0.15) - ((-1.0 * (1.0 * 0.097)) * (I2 + -0.15))) * ((0.430 * (0.089 * (0.205 + I1))) - -1.0)),((0.430 * (((-0.15 * 1.0) * (0.097 * -1.0)) - (0.430 + -1.0))) - (I2 * (((I2 * I1) - (I2 + -1.0)) * (I2 + I1)))),(((2.0 + -1.0) + 0.205) * (((I1 * (0.097 + 1.0)) + (0.089 - 0.089)) - I2)),((0.430 + ((I1 - (0.089 * 0.430)) + (1.0 + 1.0))) - (((-1.0 - 0.089) + I1) * I2)),2.47E-09,0
run_00040,((1.0 + (0.097 + (I1 + (I1 + 0.097)))) + ((((0.089 + I1) * 1.0) * (0.205 * 1.0)) + (I1 - ((2.0 - 2.0) - (-0.15 - 0.430))))),((2.0 - I2) - (I1 * (((0.205 - 0.097) * I2) - 1.0))),((2.0 - I1) + (I2 * (I1 - (I2 * 0.089)))),((((I2 * 0.205) * (0.089 * I1)) + (1.0 * (2.0 + I2))) * (((0.205 - (0.430 + 0.097)) * I2) * I1)),0.00357762,0
run_00041,(((0.097 + 0.430) - (((0.097 * 0.205) + I1) - (2.0 * -0.15))) + ((I2 * I2) + 0.089)),((1.0 - 0.205) + (I2 * 0.089)),((0.430 * (0.430 + 0.430)) - ((((0.089 + -1.0) * (I2 + 0.205)) + I1) - -0.15)),((I2 + I1) + (I1 * (((2.0 * 1.0) + (2.0 - 0.089)) + (0.089 + I2)))),1.80E-07,0
run_00042,((I1 * (1.0 - 0.205)) + ((1.0 * -0.15) - (0.430 + 0.205))),((0.430 - (I1 - (I2 - I1))) - ((0.430 + ((0.430 * 1.0) * (-0.15 + -1.0))) * I1)),(((0.089 + I1) - (0.205 - 0.205)) + (I1 + (((0.430 - 2.0) * (0.089 * I2)) + -1.0))),((-0.15 + 1.0) * ((I2 * 1.0) + (0.089 + I1))),8.39E-11,0
run_00043,(((((I1 - 0.097) - (-1.0 - 0.089)) - 0.430) - I1) * (I2 * I2)),((I1 + I1) - ((I2 + 1.0) - 0.097)),((2.0 - (I1 - ((2.0 + 0.089) * (0.089 + 2.0)))) + (I2 + (I2 - -1.0))),(((2.0 + ((2.0 * 0.205) + (2.0 + 0.089))) + I1) * (((I1 * (0.097 + -0.15)) - 0.430) * I1)),0.000375932,0
run_00044,((I1 - (I2 * 2.0)) * (I2 + 2.0)),(((0.430 - (I1 * -1.0)) * 0.205) - (2.0 * 0.097)),((0.205 + (((1.0 - -1.0) - (0.089 - 0.089)) * I1)) - (((0.430 - 1.0) * 0.097) - (((0.430 * 2.0) + 0.205) - (0.089 - 0.089)))),((0.089 - 1.0) - ((((0.430 * 1.0) - (-0.15 * 0.089)) * (2.0 - I1)) - I1)),0.00638131,0
run_00045,(((I2 * -1.0) + -0.15) * (0.430 - I1)),((2.0 + (((0.430 + I2) * (0.430 + -0.15)) - 0.205)) + ((I1 - I1) * 0.097)),(((((0.430 + -0.15) * (0.089 + 0.097)) * 0.205) + ((I1 * (I2 + 0.097)) - (0.205 - 1.0))) * (-1.0 * (((I2 * 1.0) + -1.0) - (0.089 + -0.15)))),((((-1.0 - 0.430) + (I1 - 0.205)) + I2) * (1.0 * I1)),1.18E-08,0
run_00046,((-1.0 + I1) * (((-1.0 * I2) + (0.205 * 0.097)) - (I2 + I1))),(((((0.430 * 1.0) + (0.089 + -0.15)) * (0.430 * I1)) + -1.0) + ((0.430 * ((I2 + -1.0) * -0.15)) + (I1 * ((1.0 * I1) - 1.0)))),(((I2 - ((0.205 + 1.0) + (0.097 - 0.205))) - 0.430) * (I1 + (((0.097 + 2.0) * (0.097 - 0.205)) + 0.205))),(((-0.15 + (0.089 * (0.205 - 0.430))) * I1) + (1.0 * 0.205)),4.91E-09,0
